table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,6.7,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,169.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,September,NA,Yield,Grapefruit,All,United States,15.26192,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,116.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,September,NA,Yield,Grapefruit,All,Florida,17.17,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,November,NA,Area bearing,Grapefruit,All,California,16.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,November,NA,Yield,Grapefruit,All,California,14.74,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,20,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,October,NA,Yield,Grapefruit,All,Texas,12.2,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,3.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,7.6045,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,156.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1998/99,Marketing year,September,NA,Yield,Grapefruit,All,United States,16.05751,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,114.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,September,NA,Yield,Grapefruit,All,Florida,19.89,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,November,NA,Area bearing,Grapefruit,All,California,16.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,November,NA,Yield,Grapefruit,All,California,14.539,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,20,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,October,NA,Yield,Grapefruit,All,Texas,11.88,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,2.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,5.3935,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,153.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1999/2000,Marketing year,September,NA,Yield,Grapefruit,All,United States,18,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,107.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,September,NA,Yield,Grapefruit,All,Florida,18.1475,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,November,NA,Area bearing,Grapefruit,All,California,15.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,November,NA,Yield,Grapefruit,All,California,13.7015,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,20,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,October,NA,Yield,Grapefruit,All,Texas,14.4,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,4.1875,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,145.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2000/01,Marketing year,September,NA,Yield,Grapefruit,All,United States,16.95592,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,101.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,September,NA,Yield,Grapefruit,All,Florida,19.5925,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,November,NA,Area bearing,Grapefruit,All,California,14,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,November,NA,Yield,Grapefruit,All,California,14.1035,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,19,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,October,NA,Yield,Grapefruit,All,Texas,12.44,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,2.68,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,136.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2001/02,Marketing year,September,NA,Yield,Grapefruit,All,United States,17.7843,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,95.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,September,NA,Yield,Grapefruit,All,Florida,17.2125,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,November,NA,Area bearing,Grapefruit,All,California,13,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,November,NA,Yield,Grapefruit,All,California,14.4385,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,18.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,October,NA,Yield,Grapefruit,All,Texas,12.2,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,1.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,3.1155,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,128.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2002/03,Marketing year,September,NA,Yield,Grapefruit,All,United States,16.06698,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,82.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,September,NA,Yield,Grapefruit,All,Florida,21.1225,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,November,NA,Area bearing,Grapefruit,All,California,12,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,November,NA,Yield,Grapefruit,All,California,16.1805,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,18.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,October,NA,Yield,Grapefruit,All,Texas,12.32,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,1.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,3.9195,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,114,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2003/04,Marketing year,September,NA,Yield,Grapefruit,All,United States,18.99123,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,71,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,September,NA,Yield,Grapefruit,All,Florida,7.65,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,November,NA,Area bearing,Grapefruit,All,California,11,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,November,NA,Yield,Grapefruit,All,California,18.5925,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,18.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,October,NA,Yield,Grapefruit,All,Texas,14.28,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,4.69,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,101.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2004/05,Marketing year,September,NA,Yield,Grapefruit,All,United States,10.02956,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,59.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,September,NA,Yield,Grapefruit,All,Florida,13.7275,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,November,NA,Area bearing,Grapefruit,All,California,10,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,November,NA,Yield,Grapefruit,All,California,20.1,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,18.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,October,NA,Yield,Grapefruit,All,Texas,11.24,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,0.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,4.1875,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,89.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2005/06,Marketing year,September,NA,Yield,Grapefruit,All,United States,13.82716,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,57.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,September,NA,Yield,Grapefruit,All,Florida,20.145,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,November,NA,Area bearing,Grapefruit,All,California,9.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,November,NA,Yield,Grapefruit,All,California,19.1955,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,18.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,October,NA,Yield,Grapefruit,All,Texas,15.36,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,0.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,5.5945,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,86.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2006/07,Marketing year,September,NA,Yield,Grapefruit,All,United States,18.89663,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",2007/08,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,54.8,thousand acres
